Price,Close,High,Low,Open,Volume
Ticker,MMM,MMM,MMM,MMM,MMM
Date,,,,,
2020-09-15,116.43701934814453,118.78575823607174,116.15741334675633,118.74381350878986,2459335
2020-09-16,118.49219512939453,119.60364133351005,117.09413931990899,117.34578222174409,3506313
2020-09-17,120.49838256835938,121.07158894600634,116.87043128655313,117.43664687580514,3296296
2020-09-18,118.52015686035156,120.77801594494518,118.46423054643245,120.27470463350247,4885062
2020-09-21,112.79510498046875,116.50694604943283,111.59277856919601,116.02461987850464,4678393
2020-09-22,113.48015594482422,114.40986713679854,112.13802645505031,112.58541145625146,2516145
2020-09-23,111.50189971923828,114.80830020290935,111.22927173252403,113.60597391402105,2688847
2020-09-24,112.13801574707031,113.2145206545796,110.4953079882007,111.42500633448398,1877361
2020-09-25,112.03315734863281,112.52946502929478,111.04752001844426,111.36209272368635,2330884
2020-09-28,113.00480651855469,114.73839447999889,112.77412325728638,113.24248056825273,2509806
2020-09-29,111.71160888671875,113.20752274720954,110.99160873077783,113.01179343479633,2400013
2020-09-30,111.97024536132812,114.01140248142273,110.87276812924806,112.49451621808501,3656052
2020-10-01,110.99860382080078,113.172573192345,110.25064048311113,112.31276999619027,2378964
2020-10-02,112.0960693359375,113.20053738141957,109.2230721196578,109.37685671029615,2115246
2020-10-05,113.76675415039062,114.29102502441928,113.07471710694935,113.41724023437153,1742572
2020-10-06,113.40325164794922,115.82887654436914,113.12364563518123,114.24907323133074,2418192
2020-10-07,116.38111877441406,117.26189436094823,114.92713678853832,115.40946293530585,2577858
2020-10-08,117.23393249511719,117.54150168569105,116.12946441624938,116.94733567075252,2275510
2020-10-09,118.34539794921875,119.17024728145142,117.40170520185316,118.05179756286364,2410538
2020-10-12,117.89102172851562,119.2611143366617,117.52053542008193,118.4642281639144,1834186
2020-10-13,116.47898864746094,118.45025091952674,116.03860718883624,117.6463739282682,1884059
2020-10-14,117.71625518798828,118.51315405286465,116.59082753289674,116.74461212366457,1716619
2020-10-15,118.19159698486328,118.61101880577438,115.89879681841911,116.07355378431305,1959168
2020-10-16,119.51274871826172,120.28167159777068,118.28945014199044,118.79274859682688,2964406
2020-10-19,118.52015686035156,120.4774247645446,118.04480870586842,119.5477263371273,2284240
2020-10-20,119.498779296875,121.06460112348685,118.82771462217184,119.18421932522207,2168348
2020-10-21,118.2544937133789,120.30963221659371,118.18458583629872,119.07235209065765,1807276
2020-10-22,119.33102416992188,119.5267535109734,117.7092758847196,118.58306075178112,1989187
2020-10-23,118.69493103027344,120.35861154124491,118.14968766131433,120.17686375159188,2556450
2020-10-26,116.15043640136719,117.49955656775484,114.91315609748116,117.21295974433049,3993205
2020-10-27,112.5644302368164,115.32558768151057,112.29879302132018,114.9900553354518,4657702
2020-10-28,110.8168716430664,113.8366630580031,110.53026203281546,111.71162890720451,3665860
2020-10-29,110.78189849853516,111.97024319952484,109.13917807631428,110.52325209087716,3206356
2020-10-30,111.81646728515625,111.81646728515625,109.747346891112,110.6770580134427,2672462
2020-11-02,113.89956665039062,114.2350989900218,112.49452019434256,113.37529577510274,2531454
2020-11-03,115.69607543945312,116.61878302436673,114.45879511381803,115.24169967891872,2268692
2020-11-04,111.95625305175781,115.54926278948759,111.7745053285624,113.76673949601556,3756516
2020-11-05,114.0813217163086,114.92714340826382,113.25647239154,113.35433068149653,2605486
2020-11-06,113.95549011230469,114.85024724793823,112.94190233012036,114.40286230166485,2015260
